configuration,question_id,plugin,mode,elapsed_ms,input_norm,output_norm,delta_norm
cohesion_calibrated,nq_162,baseline,replace,0.14790999989600095,0.0,5.498004101958587,5.498004101958587
cohesion_calibrated,nq_162,cohesion,add,0.21809200006828178,5.498004101958587,5.689385576471739,0.19138147451315102
cohesion_calibrated,nq_163,baseline,replace,0.14895000003889436,0.0,5.0861507374179356,5.0861507374179356
cohesion_calibrated,nq_163,cohesion,add,0.22114900002634386,5.0861507374179356,5.087142373873759,0.000991636455823276
cohesion_calibrated,nq_164,baseline,replace,0.1539649999813264,0.0,5.461895239004014,5.461895239004014
cohesion_calibrated,nq_164,cohesion,add,0.22401199998967058,5.461895239004014,5.467503677347781,0.005608438343767523
cohesion_calibrated,nq_165,baseline,replace,0.15683299989177613,0.0,5.47612711005867,5.47612711005867
cohesion_calibrated,nq_165,cohesion,add,0.22082999998929154,5.47612711005867,5.495867098349404,0.01973998829073327
cohesion_calibrated,nq_166,baseline,replace,0.16007600015655044,0.0,5.891714253914154,5.891714253914154
cohesion_calibrated,nq_166,cohesion,add,0.22879799985275895,5.891714253914154,5.891961063799752,0.0002468098855984263
cohesion_calibrated,nq_167,baseline,replace,0.17619699997339922,0.0,6.0448905683993495,6.0448905683993495
cohesion_calibrated,nq_167,cohesion,add,0.23866099991209921,6.0448905683993495,6.052943149447822,0.008052581048472379
cohesion_calibrated,nq_168,baseline,replace,0.18161699995289382,0.0,5.909557492644173,5.909557492644173
cohesion_calibrated,nq_168,cohesion,add,0.24249100010820257,5.909557492644173,5.927582245140144,0.018024752495971193
cohesion_calibrated,nq_169,baseline,replace,0.18015399996329506,0.0,6.355927592178018,6.355927592178018
cohesion_calibrated,nq_169,cohesion,add,0.24891399993975938,6.355927592178018,6.356024731379156,9.713920113783135e-05
cohesion_calibrated,nq_170,baseline,replace,0.19348799992258137,0.0,6.106406632483754,6.106406632483754
cohesion_calibrated,nq_170,cohesion,add,0.24466500008202274,6.106406632483754,6.119705455696859,0.013298823213104601
cohesion_calibrated,nq_171,baseline,replace,0.17286000002059154,0.0,6.190618722063797,6.190618722063797
cohesion_calibrated,nq_171,cohesion,add,0.2605540000786277,6.190618722063797,6.19350572448729,0.0028870024234933854
cohesion_calibrated,nq_172,baseline,replace,0.16261500013570185,0.0,5.133516988419481,5.133516988419481
cohesion_calibrated,nq_172,cohesion,add,0.2349599999433849,5.133516988419481,5.136493880541041,0.0029768921215597645
cohesion_calibrated,nq_173,baseline,replace,0.15060300006553007,0.0,5.51602278890315,5.51602278890315
cohesion_calibrated,nq_173,cohesion,add,0.23802600003364205,5.51602278890315,5.551598744506494,0.03557595560334358
cohesion_calibrated,nq_174,baseline,replace,0.14968999994380283,0.0,5.749904591099382,5.749904591099382
cohesion_calibrated,nq_174,cohesion,add,0.23575699992761656,5.749904591099382,5.762462156800068,0.012557565700686491
cohesion_calibrated,nq_175,baseline,replace,0.15432000009241165,0.0,5.650222393974599,5.650222393974599
cohesion_calibrated,nq_175,cohesion,add,0.22291100003712927,5.650222393974599,5.651038051504568,0.0008156575299684861
cohesion_calibrated,nq_176,baseline,replace,0.16316899996127177,0.0,5.676600183080806,5.676600183080806
cohesion_calibrated,nq_176,cohesion,add,0.2327559998320794,5.676600183080806,5.683141149844085,0.006540966763278392
cohesion_calibrated,nq_177,baseline,replace,0.1602759998604597,0.0,5.870573318717987,5.870573318717987
cohesion_calibrated,nq_177,cohesion,add,0.22908500000085041,5.870573318717987,5.871724648804635,0.001151330086647567
cohesion_calibrated,nq_178,baseline,replace,0.15052999992803962,0.0,6.339269107404865,6.339269107404865
cohesion_calibrated,nq_178,cohesion,add,0.2190790000895504,6.339269107404865,6.345133002203273,0.005863894798408074
cohesion_calibrated,nq_179,baseline,replace,0.14890900001773844,0.0,5.1519013836928,5.1519013836928
cohesion_calibrated,nq_179,cohesion,add,0.22208800010048435,5.1519013836928,5.151907315422768,5.931729968363487e-06
cohesion_calibrated,nq_180,baseline,replace,0.1672449998295633,0.0,6.355562829669784,6.355562829669784
cohesion_calibrated,nq_180,cohesion,add,0.2186369999890303,6.355562829669784,6.356124529024094,0.0005616993543089476
cohesion_calibrated,nq_181,baseline,replace,0.1704599999357015,0.0,5.736217570525382,5.736217570525382
cohesion_calibrated,nq_181,cohesion,add,0.2420939999865368,5.736217570525382,5.74711245425087,0.0108948837254869
cohesion_calibrated,nq_182,baseline,replace,0.17298000011578551,0.0,5.418690481081882,5.418690481081882
cohesion_calibrated,nq_182,cohesion,add,0.2577139998720668,5.418690481081882,5.418718780482825,2.8299400943669807e-05
cohesion_calibrated,nq_183,baseline,replace,0.1810809999369667,0.0,4.839801105821791,4.839801105821791
cohesion_calibrated,nq_183,cohesion,add,0.23953899994921812,4.839801105821791,4.842433939593215,0.002632833771424241
cohesion_calibrated,nq_184,baseline,replace,0.1582790000611567,0.0,5.708062268406664,5.708062268406664
cohesion_calibrated,nq_184,cohesion,add,0.22711400015396066,5.708062268406664,5.802441574175642,0.09437930576897838
cohesion_calibrated,nq_185,baseline,replace,0.1862090000486205,0.0,5.403731520231987,5.403731520231987
cohesion_calibrated,nq_185,cohesion,add,0.22491300001092895,5.403731520231987,5.407650826922,0.003919306690013303
cohesion_calibrated,nq_186,baseline,replace,0.149537999959648,0.0,6.157404007473349,6.157404007473349
cohesion_calibrated,nq_186,cohesion,add,0.23566000004393572,6.157404007473349,6.163669876625852,0.006265869152503681
cohesion_calibrated,nq_187,baseline,replace,0.1541310000447993,0.0,5.675195995994886,5.675195995994886
cohesion_calibrated,nq_187,cohesion,add,0.22523300003740587,5.675195995994886,5.677161085415448,0.0019650894205622592
cohesion_calibrated,nq_188,baseline,replace,0.15046499993331963,0.0,5.516226643930744,5.516226643930744
cohesion_calibrated,nq_188,cohesion,add,0.21918699985690182,5.516226643930744,5.516245846501497,1.9202570753404388e-05
cohesion_calibrated,nq_189,baseline,replace,0.15084100004969514,0.0,5.044064883390204,5.044064883390204
cohesion_calibrated,nq_189,cohesion,add,0.23574400006509677,5.044064883390204,5.044228751415394,0.00016386802519075962
